Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Development processes and practices in a small but growing software industry: a practitioner survey in New Zealand","Di Wang; Matthias Galster","Lentune Software Solutions, Christchurch, New Zealand; University of Canterbury, Christchurch, New Zealand","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Background: Development processes and practices depend on the context in which software is developed (e.g., locations, organizations, projects, developers). Aim: We aim at understanding development processes and practices in New Zealand, a country with a relatively small but growing software sector. We are particularly interested in methods and practices used in such environment, the implementation technologies software development professionals use, how professionals ensure software quality, and how they manage software release processes. Method: We conducted a descriptive survey targeting individual software development professionals working in New Zealand software companies. Results: New Zealand professionals use similar methodologies as professionals in other countries. Popular programming languages differ somewhat to popular languages in other rankings. Quality assurance is rather ad-hoc and the release process is inspired by agile software development principles. Conclusions: Our findings highlight some differences of the New Zealand software industry to other countries. Furthermore, we identified some strengths and weaknesses related to processes and practices. Our findings can help software professionals and organizations reflect on (and potentially adjust) the way they work.","","","10.1145/3239235.3268926","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268926","","Software notations and tools","","","","1","120","","","","","",""
"An empirical study of process policies and metrics to manage productivity and quality for maintenance of critical software systems at the jet propulsion laboratory","Dan Port; Bill Taber","University of Hawaii; California Institute of Technology","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Context/ Background: The Mission Design and Navigation Software (MDN) Group at the Jet Propulsion Laboratory (JPL) develops and continuously maintains software systems critical for NASA deep space missions. Given limited budgets, staffing resources, and a time critical need for repair or enhancement, there is an ever-present temptation to sacrifice quality for higher productivity or slip release target to ensure better quality. We have learned that poor management of this increases risk of mission failure. As a result, our process must be both highly productive and maintain high quality (e.g. reliability, maintainability, usability). Inspired by the quality is free paradigm, we have instituted a set of Rapid Release maintenance process policies and measures aimed to continually manage productivity and quality. Six Rapid Release polices were established from well-known engineering principles and best practices to address specific issues of concern encountered in the development phase. However, due to the critically of our systems, we must have objective assurance that our developers are following the six policies and that they are demonstratively effective in addressing the areas of concern.","","","10.1145/3239235.3268925","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268925","","Process validation","","","","0","112","","","","","",""
"Applying pattern-driven maintenance: a method to prevent latent unhandled exceptions in web applications","Diogo S. Mendonça; Tarcila G. da Silva; Daniel Ferreira de Oliveira; Julliany Sales Brandão; Helio Lopes; Simone D. J. Barbosa; Marcos Kalinowski; Arndt von Staa","Centro Federal de Educação Tecnológica Celso, Suckow da Fonseca and Pontifícia Universidade Católica do Rio de Janeiro, Brazil; Centro Federal de Educação Tecnológica Celso, Suckow da Fonseca, Brazil; Centro Federal de Educação Tecnológica Celso, Suckow da Fonseca, Brazil; Centro Federal de Educação Tecnológica Celso, Suckow da Fonseca, Brazil; Pontifícia Universidade Católica do Rio de Janeiro, Brazil; Pontifícia Universidade Católica do Rio de Janeiro, Brazil; Pontifícia Universidade Católica do Rio de Janeiro, Brazil; Pontifícia Universidade Católica do Rio de Janeiro, Brazil","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Background: Unhandled exceptions affect the reliability of web applications. Several studies have measured the reliability of web applications in use against unhandled exceptions, showing a recurrence of the problem during the maintenance phase. Detecting latent unhandled exceptions automatically is difficult and application-specific. Hence, general approaches to deal with defects in web applications do not treat unhandled exceptions appropriately. Aims: To design and evaluate a method that can support finding, correcting, and preventing unhandled exceptions in web applications. Method: We applied the design science engineering cycle to design a method called Pattern-Driven Maintenance (PDM). PDM relies on identifying defect patterns based on application server logs and producing static analysis rules that can be used for prevention. We applied PDM to two industrial web applications involving different companies and technologies, measuring the reliability improvement and the precision of the produced static analysis rules. Results: In both cases, our approach allowed identifying defect patterns and finding latent unhandled exceptions to be fixed in the source code, enabling to completely eliminate the pattern-related failures and improving the application reliability. The static analysis rules produced by PDM achieved a precision of 59-68% in the first application and 89-100% in the second, where lessons learnt from the first evaluation were addressed. Conclusions: The results strengthen our confidence that PDM can help maintainers to improve the reliability for unhandled exceptions in other existing web applications.","","","10.1145/3239235.3268924","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268924","","Maintaining software","","","","0","105","","","","","",""
"Computer games are serious business and so is their quality: particularities of software testing in game development from the perspective of practitioners","Ronnie E. S. Santos; Cleyton V. C. Magalhães; Luiz Fernando Capretz; Jorge S. Correia-Neto; Fabio Q. B. da Silva; Abdelrahman Saher","Centro de Informática - Universidade, Federal de Pernambuco, Brazil; Centro de Informática - Universidade, Federal de Pernambuco, Brazil; Western University, Canada; Universidade Federal Rural de, Pernambuco, Brazil; Centro de Informática - Universidade, Federal de Pernambuco, Brazil; Game Developer - Appsinnovate, Apps and Game Development, Cairo, Egypt","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Context. Over the last several decades, computer games started to have a significant impact on society. However, although a computer game is a type of software, the process to conceptualize, produce and deliver a game could involve unusual features. In software testing, for instance, studies demonstrated the hesitance of professionals to use automated testing techniques with games, due to the constant changes in requirements and design, and pointed out the need for creating testing tools that take into account the flexibility required for the game development process. Goal. This study aims to improve the current body of knowledge regarding these theme and point out the existing particularities observed in software testing considering the development of a computer game. Method. A mixed-method approach based on a case study and a survey was applied to collect quantitative and qualitative data from practitioners regarding the particularities of software testing in game development. Results. We analyzed over 70 messages posted on three well-established network of question-and-answer communities and received answers of 38 practitioners, and identified important aspects to be observed in the process of planning, performing and reporting tests games. Conclusion. Considering computer games, software testing must focus not only on the common aspects of a general software, but also, track and investigate issues that could be related to game balance, game physics and entertainment related-aspects to guarantee the quality of computer games and a successful testing process.","","","10.1145/3239235.3268923","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268923","","Software verification and validation","","","","1","130","","","","","",""
"Software quality assessment in practice: a hypothesis-driven framework","Markus Schnappinger; Mohd Hafeez Osman; Alexander Pretschner; Markus Pizka; Arnaud Fietzke","Technical University of Munich, Munich, Germany; Technical University of Munich, Munich, Germany; Technical University of Munich, Munich, Germany; itestra GmbH, Munich, Germany; itestra GmbH, Munich, Germany","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","6","Software quality models describe decompositions of quality characteristics. However, in practice, there is a gap between quality models, quality measurements, and quality assessment activities. As a first step of bridging the gap, this paper presents a novel and structured framework to perform quality assessments. Together with our industrial partner, we applied this framework in two case studies and present our lessons learned. Among others, we found that results from automated tools can be misleading. Manual inspections still need to be conducted to find hidden quality issues, and concrete evidence of quality violations needs to be collected to convince the stakeholders.","","","10.1145/3239235.3268922","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268922","","Maintaining software","","","","2","161","","","","","",""
"Decision making and visualizations based on test results","Per Erik Strandberg; Wasif Afzal; Daniel Sundmark","Westermo R & D AB, Sweden; Mälardalen University, Sweden; Mälardalen University, Sweden","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Background: Testing is one of the main methods for quality assurance in the development of embedded software, as well as in software engineering in general. Consequently, test results (and how they are reported and visualized) may substantially influence business decisions in software-intensive organizations. Aims: This case study examines the role of test results from automated nightly software testing and the visualizations for decision making they enable at an embedded systems company in Sweden. In particular, we want to identify the use of the visualizations for supporting decisions from three aspects: in daily work, at feature branch merge, and at release time. Method: We conducted an embedded case study with multiple units of analysis by conducting interviews, questionnaires, using archival data and participant observations. Results: Several visualizations and reports built on top of the test results database are utilized in supporting daily work, merging a feature branch to the master and at release time. Some important visualizations are: lists of failing test cases, easy access to log files, and heatmap trend plots. The industrial practitioners perceived the visualizations and reporting as valuable, however they also mentioned several areas of improvement such as better ways of visualizing test coverage in a functional area as well as better navigation between different views. Conclusions: We conclude that visualizations of test results are a vital decision making tool for a variety of roles and tasks in embedded software development, however the visualizations need to be continuously improved to keep their value for its stakeholders.","","","10.1145/3239235.3268921","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268921","","Software testing and debugging","","","","0","233","","","","","",""
"Vulnerable open source dependencies: counting those that matter","Ivan Pashchenko; Henrik Plate; Serena Elisa Ponta; Antonino Sabetta; Fabio Massacci","University of Trento, IT; SAP Security Research, FR; SAP Security Research, FR; SAP Security Research, FR; University of Trento, IT","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Background: Vulnerable dependencies are a known problem in today's open-source software ecosystems because OSS libraries are highly interconnected and developers do not always update their dependencies.","","","10.1145/3239235.3268920","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268920","","Software libraries and repositories","","","","6","235","","","","","",""
"Defining, measuring and monitoring IT service goals and strategies: preliminary results and pitfalls from a qualitative study with IT service managers","Bianca Trinkenreich; Tayana Conte; Monalessa Perini Barcellos; Gleison Santos","IT Infrastructure Services Vale S/A, Rio de Janeiro, Brazil; Institute of Computing (IComp) - UFAM, Manaus, Brazil; NEMO Ontology and Conceptual Modeling Research Group - UFES, Vitória, Brazil; UNIRIO, Rio de Janeiro, Brazil","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","<u>Background:</u> Aligning IT to business goals is a top priority for CIOs. However, managers in the IT Service Industry face difficulties to define and monitor IT service goals and strategies aligned to business goals. <u>Goal:</u> We carried out a study to investigate how IT service managers define, measure and monitor IT service goals and strategies, and the difficulties they have faced in this context. <u>Method:</u> We interviewed five IT service managers from four service provider organizations and used coding procedures to analyze the collected data. <u>Results:</u> We obtained information about how organizations define, measure and evaluate IT service goals and strategies and, from the difficulties reported by the managers, we identified 19 pitfalls. <u>Conclusions:</u> By analyzing the relations among the pitfalls, we defined five hypotheses: (i) lack of awareness and transparency on the relationship between strategies and goals may harm the achievement of IT service goals and strategies, (ii) lack of proper support to execute measurement inhibits reevaluation and adjustment of strategies and indicators related to IT service goals, (iii) lack of motivation can jeopardize decision-making by IT service managers, (iv) conflicts between strategies may harm IT service goals achievement, and (v) lack of proper support to execute IT service management initiatives may harm IT service goals achievement.","","","10.1145/3239235.3268919","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268919","","Measurement","","","","0","136","","","","","",""
"Implementing agile practices: the experience of TSol","María Cecilia Bastarrica; Germán Espinoza; Jacqueline Marín","Universidad de Chile; TSol, Telecommunication Solutions, Santiago, Chile; Universidad de Chile","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Background: Implementing agile practices in software development processes promises to bring improvements in product quality and process productivity, but there are few reports of cases of failure to learn from. And more specifically, it is not always clear which practices work well in which contexts.","","","10.1145/3239235.3268918","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268918","","Agile software development","","","","1","158","","","","","",""
"The most common causes and effects of technical debt: first results from a global family of industrial surveys","Nicolli Rios; Rodrigo Oliveira Spínola; Manoel Mendonça; Carolyn Seaman","Federal University of Bahia, Salvador, Brazil; Salvador University, Salvador, Brazil; Federal University of Bahia, Salvador, Brazil; University of Maryland","ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","2018","","","1","10","Background: The presence of technical debt (TD) brings risks to a software project and makes it difficult to manage. Several TD management strategies have been proposed, but considering actions that could explicitly prevent the insertion of TD in the first place and monitor its effects is not yet a common practice. Thus, while TD management is an important topic, it is also worthwhile to understand the causes that could lead development teams to incur different types of debt as well as the effects of their presence on software projects. Aims: The objective of this work is twofold. First, we investigate the state of practice in the TD area including the status quo, the causes that lead to TD occurrence, and the effects of existing TD. Second, we present the design of InsighTD, a globally distributed family of industrial surveys on causes and effects of TD, and the results of its first execution. Method: We designed the InsighTD in joint collaboration with several TD researchers. It is designed to run as an incremental large scale study based on continuous and independent replications of the questionnaire in different countries. Results: This paper presents the first results of the first execution of the survey. In total, 107 practitioners from the Brazilian software industry answered the questionnaire. Results indicate that there is a broad familiarity with the concept of TD. Deadlines, inappropriate planning, lack of knowledge, and lack of a well-defined process are among the top 10 cited and most likely causes that lead to the occurrence of TD. On the other side, low quality, delivery delay, low maintainability, rework and financial loss are among the top 10 most commonly cited and impactful effects of TD. Conclusion: With InsighTD, we intend to reduce the problem of isolated investigations in TD that are not yet representative and, thus, build a continuous and generalizable empirical basis for understanding practical problems and challenges of TD.","","","10.1145/3239235.3268917","","https://dl.acm.org/doi/pdf/10.1145/3239235.3268917","","Software and its engineering","","","","8","221","","","","","",""
