Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Identifying future field accesses in exhaustive state space traversal","Pavel Parizek; Pavel Parizek; Ondrej Lhotak","David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","93","102","One popular approach to detect errors in multi-threaded programs is to systematically explore all possible interleavings. A common algorithmic strategy is to construct the program state space on-the-fly and perform thread scheduling choices at any instruction that could have effects visible to other threads. Existing tools do not look ahead in the code to be executed, and thus their decisions are too conservative. They create unnecessary thread scheduling choices at instructions that do not actually influence other threads, which implies exploring exponentially greater numbers of interleavings. In this paper we describe how information about field accesses that may occur in the future can be used to identify and eliminate unnecessary thread choices. This reduces the number of states that must be processed to explore all possible behaviors and therefore improves the performance of exhaustive state space traversal. We have applied this technique to Java PathFinder, using the WALA library for static analysis. Experiments on several Java programs show big performance gains. In particular, it is now possible to check with Java PathFinder more complex programs than before in reasonable time.","","","10.1109/ASE.2011.6100154","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100154","","Program semantics","","","","6","71","","","","","",""
"Prioritizing tests for fault localization through ambiguity group reduction","Alberto Gonzalez-Sanchez; Rui Abreu; Hans-Gerhard Gross; Arjan J. C. van Gemund","Delft University of Technology, Software Technology Department, Mekelweg 4, 2628 CD, The Netherlands; University of Porto, Departament of Informatics Engineering, Rua Dr. Roberto Frias, 4200-465, Portugal; Delft University of Technology, Software Technology Department, Mekelweg 4, 2628 CD, The Netherlands; Delft University of Technology, Software Technology Department, Mekelweg 4, 2628 CD, The Netherlands","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","83","92","In practically all development processes, regression tests are used to detect the presence of faults after a modification. If faults are detected, a fault localization algorithm can be used to reduce the manual inspection cost. However, while using test case prioritization to enhance the rate of fault detection of the test suite (e.g., statement coverage), the diagnostic information gain per test is not optimal, which results in needless inspection cost during diagnosis. We present RAPTOR, a test prioritization algorithm for fault localization, based on reducing the similarity between statement execution patterns as the testing progresses. Unlike previous diagnostic prioritization algorithms, RAPTOR does not require false negative information, and is much less complex. Experimental results from the Software Infrastructure Repository's benchmarks show that RAPTOR is the best technique under realistic conditions, with average cost reductions of 40% with respect to the next best technique, with negligible impact on fault detection capability.","","","10.1109/ASE.2011.6100153","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100153","","Software testing and debugging","","","","12","177","","","","","",""
"Generating program inputs for database application testing","Kai Pan; Xintao Wu; Tao Xie","University of North Carolina at Charlotte, USA; University of North Carolina at Charlotte, USA; North Carolina State University, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","73","82","Testing is essential for quality assurance of database applications. Achieving high code coverage of the database application is important in testing. In practice, there may exist a copy of live databases that can be used for database application testing. Using an existing database state is desirable since it tends to be representative of real-world objects' characteristics, helping detect faults that could cause failures in real-world settings. However, to cover a specific program code portion (e.g., block), appropriate program inputs also need to be generated for the given existing database state. To address this issue, in this paper, we propose a novel approach that generates program inputs for achieving high code coverage of a database application, given an existing database state. Our approach uses symbolic execution to track how program inputs are transformed before appearing in the executed SQL queries and how the constraints on query results affect the application's execution. One significant challenge in our problem context is the gap between program-input constraints derived from the program and from the given existing database state; satisfying both types of constraints is needed to cover a specific program code portion. Our approach includes novel query formulation to bridge this gap. Our approach is loosely integrated into Pex, a state-of-the-art white-box testing tool for .NET from Microsoft Research. Empirical evaluations on two real database applications show that our approach assists Pex to generate program inputs that achieve higher code coverage than the program inputs generated by Pex without our approach's assistance.","","","10.1109/ASE.2011.6100152","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100152","","Software testing and debugging","","","","18","157","","","","","",""
"Automatic assessment of software documentation quality","Andreas Dautovic","Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Altenberger Straβe 69, 4040, Austria","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","665","669","In this paper I describe the concept of my dissertation, which aims at adapting the Continuous Quality Monitoring Method (CQMM) for the automated quality assessment of software documentation using a developed document quality analysis framework and software document quality rules which represent best practices for software documentation.","","","10.1109/ASE.2011.6100151","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100151","","","","","","1","174","","","","","",""
"Improving spectrum-based fault localization using proximity-based weighting of test cases","Aritra Bandyopadhyay","Department of Computer Science, Colorado State University, Fort Collins, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","660","664","Spectrum based fault localization techniques such as Tarantula and Ochiai calculate the suspiciousness score of a program statement using the number of failing and passing test cases that execute the statement. These techniques implicitly assume that all test cases are equally important. However, research on test case generation and selection techniques has shown that using certain test cases can lead to more effective fault localization than others. The proposed research aims to improve the effectiveness of spectrum based fault localization by incorporating the relative importance of different test cases in the calculation of suspiciousness scores.","","","10.1109/ASE.2011.6100150","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100150","","Software testing and debugging","","","","2","83","","","","","",""
"Analyzing temporal properties of abstract models","Amirhossein Vakili","Cheriton School of Computer Science, University of Waterloo, Ontario, Canada, N2L 3G1","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","656","659","Models are created and changed throughout the development process of software systems. The cost of repairing the errors that are due to mistakes in models is very high. In this research, we address this problem by developing model checking techniques that can be applied to abstract models that guide designers throughout the evolution of models and systems. Abstract models are declarative, expressed as a set of constraints, and this declarative aspect is the main challenge in model checking them. Our main idea for solving this problem is to express the model checking problem as a constraint solving problem. This approach enables designers to use current state-of-the-art constraint solvers for analysis. We have implemented this idea for Alloy models and we are further extending it for automatic model repairing. To achieve scalability, we have developed BDD-based methods for analysis of declarative models and we are studying model checking methods that are based on satisfiability modulo theories. We plan to extend these methods to infinite state space models.","","","10.1109/ASE.2011.6100149","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100149","","Program verification","","","","0","64","","","","","",""
"Toward consistency checking of natural language temporal requirements","Wenbin Li","Department of Computer Science, University of Kentucky, Lexington, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","651","655","We discuss the problem of identifying inconsistencies in temporal requirements expressed as natural language text. We propose a partially automated approach that aims to minimize analysts' workload and improve accuracy. As one of the ingredients of the approach, we introduce a formal language to represent temporal requirements precisely and unambiguously. We call this language Temporal Action Language (TAL).","","","10.1109/ASE.2011.6100148","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100148","","","","","","0","81","","","","","",""
"A framework for managing uncertainty in self-adaptive software systems","Naeem Esfahani","Department of Computer Science, George Mason University, Fairfax, Virginia, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","646","650","Self-adaptation endows a software system with the ability to satisfy certain objectives by automatically modifying its behavior. While many promising approaches for the construction of self-adaptive software systems have been developed, the majority of them ignore the uncertainty underlying the adaptation decisions. This has been one of the key inhibitors to widespread adoption of self-adaption techniques in risk-averse real-world settings. In this research abstract I outline my ongoing effort in the development of a framework for managing uncertainty in self-adaptation. This framework employs state-of-the-art mathematical approaches to model and assess uncertainty in adaptation decisions. Preliminary results show that knowledge about uncertainty allows self-adaptive software systems to make better decisions.","","","10.1109/ASE.2011.6100147","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100147","","","","","","4","134","","","","","",""
"Using Formal Concept Analysis to support change analysis","Xiaobing Sun; Bixin Li","Southeast University, School of Computer Science and Engineering, Nanjing, China; Southeast University, School of Computer Science and Engineering, Nanjing, China","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","641","645","Software needs to be maintained and changed to cope with new requirement, existing faults and change requests as software evolves. One particular issue in software maintenance is how to deal with a change proposal before change implementation? Changes to software often cause unexpected ripple effects. To avoid this and alleviate the risk of performing undesirable changes, some predictive measurement should be conducted and a change scheme of the change proposal should be presented. This research intends to provide a unified framework for change analysis, which includes dependencies extraction, change impact analysis, changeability assessment, etc. We expect that our change analysis framework will contribute directly to the improvement of the accuracy of these predictive measures before change implementation, and thus provide more accurate change analysis results for software maintainers, improve quality of software evolution and reduce the software maintenance effort and cost.","","","10.1109/ASE.2011.6100146","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100146","","Software post-development issues","","","","1","147","","","","","",""
"Automated documentation inference to explain failed tests","Sai Zhang; Cheng Zhang; Michael D. Ernst","University of Washington, USA; Shanghai Jiao Tong University, China; University of Washington, USA","ASE '11: Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","2011","","","63","72","A failed test reveals a potential bug in the tested code. Developers need to understand which parts of the test are relevant to the failure before they start bug-fixing.","","","10.1109/ASE.2011.6100145","","https://dl.acm.org/doi/pdf/10.1109/ASE.2011.6100145","","Software testing and debugging","","","","17","120","","","","","",""
