Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Towards an Optimizing Model for Older People at Risk of Falls","Ahmad Albu-Shamah; Justin Zhan","North Carolina A&T State Univ., Greensboro, NC, USA; North Carolina A&T State Univ., Greensboro, NC, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","55","58","Falls represent a problem associated with elder people. Statistics show that the percentage of people who are aged 65 years and older, get a serious injury when they fall is increasing in a very rapid way. When an elderly person falls, the cost will be high since the fall might cause in bone fractures and sometimes even death. This paper aims to detect the possible fall event by monitoring two parameters that will be put into a mathematical formula, in order to predict whether a fall is going to occur or not so we can avoid getting a long term serious injury.","","","10.1109/BioMedCom.2012.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516428","Falls;Heart Rate;Feet Pressure","","biomechanics;bone;electrocardiography;geriatrics;injuries;patient monitoring;statistical analysis","optimizing model;risk-of-falls;statistics;injury;elderly person falls;bone fractures;death;patient monitoring;mathematical formula;ECG;electrocardiography","","3","63","","","","","IEEE","IEEE Conferences"
"A Misuse Pattern for Retrieving Data from a Database Using SQL Injection","Eduardo B. Fernandez; Ernest Alder; Richard Bagley; Swati Paghdar","Dept. of Electr. & Comput. Eng. & Comput. Sci., Florida Atlantic Univ., Boca Raton, FL, USA; Dept. of Electr. & Comput. Eng. & Comput. Sci., Florida Atlantic Univ., Boca Raton, FL, USA; Dept. of Electr. & Comput. Eng. & Comput. Sci., Florida Atlantic Univ., Boca Raton, FL, USA; Dept. of Electr. & Comput. Eng. & Comput. Sci., Florida Atlantic Univ., Boca Raton, FL, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","127","131","SQL injection attacks represent a serious threat to any database-driven site and they are one of the most frequent types of attacks. We present here a misuse pattern for retrieving data from a database using SQL injection, which describes the essential and typical characteristics of this type of attack. A misuse pattern describes from the point of view of the attacker, how a type of attack or misuse is performed (what units it uses and how), looks at the selection of the methods available to the attacker, analyzes the way of stopping the attack, and describes how to trace the attack once it has happened by appropriate collection and observation of forensic data.","","","10.1109/BioMedCom.2012.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516440","SQL injection attacks;misuse pattern;security pattern;forensics;data security breach;computer security","","database management systems;digital forensics;information retrieval;SQL","misuse pattern;data retrieval;SQL injection attacks;database-driven site;forensic data","","1","249","","","","","IEEE","IEEE Conferences"
"A Pattern for Software-as-a-Service in Clouds","Keiko Hashizume; Eduardo B. Fernandez; Maria M. Larrondo-Petrie","Dept. of Comput. Sci. & Eng., Florida Atlantic Univ., Boca Raton, FL, USA; Dept. of Comput. Sci. & Eng., Florida Atlantic Univ., Boca Raton, FL, USA; Dept. of Comput. Sci. & Eng., Florida Atlantic Univ., Boca Raton, FL, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","140","144","The three primary types of cloud computing services are Infrastructure-as-a-Service (IaaS), Platform-as-a-Service (PaaS) and Software-as-a-Service (SaaS). IaaS delivers computer infrastructure including servers, storage and network. PaaS offers the computer platform as a service which facilitates development and deployment of applications. In SaaS, applications are hosted and maintained by a cloud provider and delivered to the users as services on demand. We have developed two patterns for cloud delivery services: IaaS and PaaS patterns. We develop here a pattern for Software-as-a-Service to complete all the three cloud service levels. These patterns will be used to study cloud security requirements.","","","10.1109/BioMedCom.2012.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516442","cloud computing;Software-as-a-Service;pattern;cloud service","","cloud computing;security of data","software-as-a-service;cloud computing services;infrastructure-as-a-service;IaaS;platform-as-a-service;PaaS;SaaS;computer platform;cloud provider;cloud delivery services;cloud security requirements;cloud service levels","","7","500","","","","","IEEE","IEEE Conferences"
"Identification of Surface and Deep Layer Muscle Activity by EMG Propagation Direction","Toshiki Koshio; Shigeru Sakurazawa; Masashi Toda; Junichi Akita; Kazuaki Kondo; Yuichi Nakamura","Grad. Sch. of Syst. Inf. Sci., Future Univ. Hakodate, Hakodate, Japan; Sch. of Syst. Inf. Sci., Future Univ. Hakodate, Hakodate, Japan; Center for Multimedia & Inf. Technol., Kumamoto Univ., Kumamoto, Japan; Fac. of Eng., Kanazawa Univ., Kanazawa, Japan; Acad. Center for Comput. & Media Studies, Kyoto Univ., Kyoto, Japan; Acad. Center for Comput. & Media Studies, Kyoto Univ., Kyoto, Japan","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","50","54","It is generally difficult to identify surface and deep layer muscle activity. If we could identify surface and deep layer muscle activity, we can provide effective tools for rehabilitation. Therefore, in this study, we aim to identify surface and deep layer muscle activity using surface electrodes. We focused on the intersection of muscle fibers of surface layer muscle and deep layer muscle. On such a place, we found that we could measure independent muscle activity along each muscle fiber. In this result, we could confirm that we could measure surface layer muscle activity independently by comparing with the signal which is measured on extended line of surface muscle fiber and on outside of the deep layer muscle. Additionally, we identified propagation direction of EMG signal using electrode array. It was determined from delay time of EMG signal measured on each electrode. When we activated surface and deep layer muscle independently, each propagation direction of EMG signal corresponded to each muscle fiber direction. Thus, we indicated that identification of surface and deep layer muscle activity is possible.","","","10.1109/BioMedCom.2012.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516427","Array electrode;Deep layer muscle;EMG;Propagation direction","","biomedical electrodes;electromyography;medical signal processing","surface layer muscle activity;deep layer muscle activity;rehabilitation;surface electrodes;muscle fiber intersection;independent muscle activity measurement;EMG signal;electrode array;EMG propagation direction;signal processing","","2","80","","","","","IEEE","IEEE Conferences"
"A Framework for Model Checking of Large Scale Disease Spread Models","Krishnendu Ghosh","Dept. of Comput. & Inf. Technol., Miami Univ. Hamilton, Hamilton, OH, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","59","61","The state explosion problem in model checking is a challenge for large scale models of disease spread. An efficient formalism is created for a disease spread model. Two model reduction mechanisms are described for efficiency in model checking. Queries by variants of temporal logic on the formalism are also stated.","","","10.1109/BioMedCom.2012.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516429","Model checking;Epidemiological models;Model reduction","","diseases;formal verification;medical computing;temporal logic","model checking framework;large scale disease spread models;state explosion problem;reduction mechanisms;queries;temporal logic variants","","0","48","","","","","IEEE","IEEE Conferences"
"S*FSM: A Paradigm Shift for Attack Resistant FSM Designs and Encodings","Mike Borowczak; Ranga Vemuri","Sch. of Electron. & Comput. Syst., Univ. of Cincinnati, Cincinnati, OH, USA; Sch. of Electron. & Comput. Syst., Univ. of Cincinnati, Cincinnati, OH, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","96","100","While hardware design focuses on creating minimally-sized circuits, this paper proposes that security-centric designs require a departure from this mentality. The need for built-in protection mechanisms at all levels of design is paramount to providing cost-effective secure systems. We focus on the high-level design of sequential circuits by targeting Finite State Machines (FSMs) and their vulnerability to non-invasive, side channel based, attacks. The unconventional paradigm shift needed is justified by showing that conventional, minimalism-based, FSM synthesis and encodings allow direct correlation between state/transitions and Hamming Models. A two-fold method, involving structural modifications and specific encoding strategies, is proposed for side-channel secure FSM (S*FSMs). Preliminary high-level simulations show the effectiveness and potential for security driven S*FSM synthesis methods to mitigate the relationship between attack models and underlying hardware implementations.","","","10.1109/BioMedCom.2012.22","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516435","FSM;Side Channel Attack;Synthesis;Encoding","","channel coding;finite state machines;integrated circuit design;logic design;sequential circuits","attack resistant FSM designs;attack resistant FSM encodings;hardware design;security-centric designs;built-in protection mechanisms;sequential circuit high-level design;finite state machines;noninvasive side channel-based attack vulnerability;minimalism-based FSM synthesis;minimalism-based FSM encodings;Hamming models;two-fold method;structural modifications;side-channel secure FSM;high-level simulations;S*FSM synthesis methods","","7","105","","","","","IEEE","IEEE Conferences"
"3-D Tomosynthesis Image Reconstruction Using Total Variation","Metin Ertas; Aydin Akan; Kubra Cengiz; Mustafa Kamasak; Saeed Seyyedi; Isa Yildirim","Dept. of Electr. & Electron. Eng., Istanbul Univ., Istanbul, Turkey; Dept. of Electr. & Electron. Eng., Istanbul Univ., Istanbul, Turkey; Dept. of Comput. Eng., Istanbul Tech. Univ., Istanbul, Turkey; Dept. of Comput. Eng., Istanbul Tech. Univ., Istanbul, Turkey; Dept. of Electr. & Electron. Eng., Istanbul Tech. Univ., Istanbul, Turkey; Dept. of Electr. & Electron. Eng., Istanbul Tech. Univ., Istanbul, Turkey","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","1","5","In tomosynthesis imaging, out-of-focus slice blur problem arises due to incomplete sampling problem. Several approaches have been proposed to deal with this problem. Algebraic reconstruction technique (ART) is one of the most commonly used methods. Total variation (TV) minimization has recently been applied to improve performance of the classical approaches. Though it is able to provide improved results, its sensitivity to the regularization parameter is still an important issue. Former studies addressed largely 2-D tomosynthesis image reconstruction problem. In this study, a 3-D phantom model was used to understand the effect of total variation minimization on a 3-D image reconstruction problem. The significance of selecting an appropriate regularization parameter of TV not addressed in the prior studies was also investigated by means of comparing root mean square error (RMSE) and contrast to noise ratio (CNR) values.","","","10.1109/BioMedCom.2012.7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516420","3-D tomosynthesis;image reconstruction;ART;TV minimization;compressed sensing","","computerised tomography;diagnostic radiography;image reconstruction;image restoration;image sampling;mean square error methods;medical image processing;minimisation;phantoms","3D tomosynthesis image reconstruction;out-of-focus slice blur problem;incomplete sampling problem;algebraic reconstruction technique;total variation minimization;3D phantom model;root mean square error;contrast-to-noise ratio;diagnostic radiography","","0","109","","","","","IEEE","IEEE Conferences"
"Study of HRV Dynamics and Comparison Using Wavelet Analysis and Pan Tompkins Algorithm","Yamini Goyal; Anshul Jain","LNM Inst. of Inf. Technol., Jaipur, India; LNM Inst. of Inf. Technol., Jaipur, India","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","43","49","Heart rate variability (HRV) provides a non-invasive means of quantifying cardiac autonomic activity. It has been shown to be a powerful predictor of arrhythmia related complications in patients surviving the acute phase of myocardial infarction. It has also increasingly been used to measure autonomic nervous system activities. This work aims to study heart rate variability during normal or abnormal functioning of the heart and whether it can be used to predict the occurrence of any abnormality. Additionally, it aims to compare results based on wavelet analysis and Pan Tompkins algorithm. Both time domain analysis and frequency domain analysis of HRV are presented. The HRV dynamics is evaluated using non-parametric (Fast Fourier Transform) method. Results of stimulations in MATLAB are presented.","","","10.1109/BioMedCom.2012.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516426","Electrocardiogram;Daubechies Wavelets;Pan Tompkins Algorithm;Heart Rate Variability;Event Detection;Fast Fourier Transform","","electrocardiography;fast Fourier transforms;frequency-domain analysis;medical signal processing;neurophysiology;time-domain analysis;wavelet transforms","HRV dynamics;wavelet analysis;Pan Tompkins algorithm;heart rate variability;cardiac autonomic activity;arrhythmia predictor;myocardial infarction;autonomic nervous system activities;abnormal heart functioning;time domain analysis;frequency domain analysis;nonparametric method;fast Fourier transform;MATLAB","","3","198","","","","","IEEE","IEEE Conferences"
"Early Results from Metamorphic Testing of Epidemiological Models","Laura L. Pullum; Ozgur Ozmen","Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA; Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","62","67","The research reported in this paper is motivated by the need to validate models of disease spread. To date, reasoned confidence in the results of these models is complicated by the increasing complexity of the models and by their desired predictive use. As part of an overall approach to verification and validation of disease spread models, we investigate metamorphic testing. In this paper, we present early results of initial metamorphic testing on agent-based epidemiological models.","","","10.1109/BioMedCom.2012.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516430","Epidemiological models;Verification;1918 Spanish flu;Agent-based models;Metamorphic testing","","diseases;formal verification;medical computing","metamorphic testing;model complexity;disease spread model verification;disease spread model validation;agent-based epidemiological models","","14","111","","","","","IEEE","IEEE Conferences"
"Agent-Based vs. Equation-Based Epidemiological Models: A Model Selection Case Study","Sreenivas R. Sukumar; James J. Nutaro","Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA; Comput. Sci. & Eng. Div., Oak Ridge Nat. Lab., Oak Ridge, TN, USA","2012 ASE/IEEE International Conference on BioMedical Computing (BioMedCom)","","2012","","","74","79","This paper is motivated by the need to design model validation strategies for epidemiological disease-spread models. We consider both agent-based and equation-based models of pandemic disease spread and study the nuances and complexities one has to consider from the perspective of model validation. For this purpose, we instantiate an equation-based model and an agent-based model of the 1918 Spanish flu and we leverage data published in the literature for our case study. We present our observations from the perspective of each implementation and discuss the application of model-selection criteria to compare the risk in choosing one modeling paradigm to another. We conclude with a discussion of our experience and document future ideas for a model validation framework.","","","10.1109/BioMedCom.2012.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6516432","","","","","","2","159","","","","","IEEE","IEEE Conferences"
